chrom	start	end	annotation	source
ON563414.3	1	6439	terminal_repeat	GBK
ON563414.3	190767	197205	terminal_repeat	GBK
ON563414.3	133095	133122	homopolymer	TRF
ON563414.3	136523	136579	tandem_repeat	TRF
ON563414.3	140115	140172	tandem_repeat	TRF
ON563414.3	141986	142031	tandem_repeat	TRF
ON563414.3	146858	146922	tandem_repeat	TRF
ON563414.3	150554	150621	tandem_repeat	TRF
ON563414.3	163183	163207	tandem_repeat	TRF
ON563414.3	166084	166109	tandem_repeat	TRF
ON563414.3	169715	169767	tandem_repeat	TRF
ON563414.3	173267	173314	tandem_repeat	TRF
ON563414.3	174516	174544	tandem_repeat	TRF
ON563414.3	179074	179222	tandem_repeat	TRF
